algorithm,grid_rows,grid_cols,obstacle_density,seed,instance_seed,start_row,start_col,goal_row,goal_col,found,runtime_ms,nodes_expanded,path_cost
astar,128,128,0.05,0,0,49,24,86,92,True,9.3326999922283,603,83.32590180780446
theta_star,128,128,0.05,0,0,49,24,86,92,True,7.452200050465763,134,78.56464572238514
jps,128,128,0.05,0,0,49,24,86,92,True,6.398800003807992,203,103.48528137423857
astar,128,128,0.05,1,1000,19,5,77,35,True,3.5259000142104924,266,71.01219330881969
theta_star,128,128,0.05,1,1000,19,5,77,35,True,4.213300009723753,66,65.3696127220152
jps,128,128,0.05,1,1000,19,5,77,35,True,5.317100032698363,198,104.0
astar,128,128,0.05,2,2000,3,94,36,32,True,8.217800001148134,432,75.66904755831209
theta_star,128,128,0.05,2,2000,3,94,36,32,True,9.600599994882941,105,71.55767793029648
jps,128,128,0.05,2,2000,3,94,36,32,True,4.2693999712355435,142,98.41421356237309
astar,128,128,0.05,3,3000,47,16,68,60,True,2.502499963156879,181,52.698484809834966
theta_star,128,128,0.05,3,3000,47,16,68,60,True,4.615200043190271,48,48.75448697299562
jps,128,128,0.05,3,3000,47,16,68,60,True,5.758000013884157,284,82.41421356237309
astar,128,128,0.05,4,4000,127,14,126,63,True,2.907100017182529,151,51.071067811865476
theta_star,128,128,0.05,4,4000,127,14,126,63,True,2.8385999612510204,87,49.46861487869166
jps,128,128,0.05,4,4000,127,14,126,63,True,13.089600019156933,538,146.72792206135784
astar,128,128,0.05,5,5000,96,121,65,98,True,2.8605000115931034,166,41.11269837220809
theta_star,128,128,0.05,5,5000,96,121,65,98,True,3.0300000216811895,47,39.44030650891055
jps,128,128,0.05,5,5000,96,121,65,98,False,48.02680003922433,2234,inf
astar,128,128,0.05,6,6000,7,81,69,100,True,3.429699980188161,282,69.87005768508877
theta_star,128,128,0.05,6,6000,7,81,69,100,True,5.30420005088672,65,66.18849411078001
jps,128,128,0.05,6,6000,7,81,69,100,True,11.472499987576157,395,133.82842712474618
astar,128,128,0.05,7,7000,47,112,50,6,True,12.83199997851625,460,108.89949493661165
theta_star,128,128,0.05,7,7000,47,112,50,6,True,19.85209999838844,280,106.50600442822372
jps,128,128,0.05,7,7000,47,112,50,6,True,4.61230002110824,203,126.41421356237309
astar,128,128,0.05,8,8000,118,94,78,58,True,2.7682000072672963,216,56.66904755831211
theta_star,128,128,0.05,8,8000,118,94,78,58,True,5.338400020264089,97,54.44239707009086
jps,128,128,0.05,8,8000,118,94,78,58,True,3.493900003377348,133,69.55634918610404
astar,128,128,0.05,9,9000,50,125,58,51,True,4.544000024907291,228,77.31370849898474
theta_star,128,128,0.05,9,9000,50,125,58,51,True,5.680600006598979,90,75.8032278706387
jps,128,128,0.05,9,9000,50,125,58,51,True,1.9426000071689487,61,91.41421356237309
astar,128,128,0.15,0,0,86,92,15,67,True,6.791300023905933,341,81.94112549695424
theta_star,128,128,0.15,0,0,86,92,15,67,True,6.196399976033717,98,77.05171341193248
jps,128,128,0.15,0,0,86,92,15,67,True,22.944799973629415,791,136.0
astar,128,128,0.15,1,1000,19,5,77,35,True,4.606600035913289,395,72.18376618407353
theta_star,128,128,0.15,1,1000,19,5,77,35,True,3.4601999795995653,130,67.64695676710664
jps,128,128,0.15,1,1000,19,5,77,35,True,11.297599994577467,872,263.4142135623731
astar,128,128,0.15,2,2000,3,94,36,32,True,8.504799974616617,810,78.59797974644661
theta_star,128,128,0.15,2,2000,3,94,36,32,True,5.229800008237362,172,72.79184113487115
jps,128,128,0.15,2,2000,3,94,36,32,False,46.9856999698095,3607,inf
astar,128,128,0.15,3,3000,47,16,68,60,True,3.5835999879054725,327,54.698484809834966
theta_star,128,128,0.15,3,3000,47,16,68,60,True,4.798799986019731,160,50.89942452405192
jps,128,128,0.15,3,3000,47,16,68,60,False,48.03830001037568,3652,inf
astar,128,128,0.15,4,4000,127,14,126,63,True,2.5942999636754394,200,53.55634918610404
theta_star,128,128,0.15,4,4000,127,14,126,63,True,2.6725000352598727,134,50.64616165249818
jps,128,128,0.15,4,4000,127,14,126,63,False,49.76439999882132,3685,inf
astar,128,128,0.15,5,5000,96,121,30,41,True,13.36550002451986,1162,114.36753236814702
theta_star,128,128,0.15,5,5000,96,121,30,41,True,6.260599999222904,211,105.11159024961665
jps,128,128,0.15,5,5000,96,121,30,41,True,26.26880002208054,1911,205.4142135623731
astar,128,128,0.15,6,6000,7,81,1,118,True,1.5985000063665211,142,40.31370849898476
theta_star,128,128,0.15,6,6000,7,81,1,118,True,1.5005000168457627,58,38.30965563677235
jps,128,128,0.15,6,6000,7,81,1,118,True,4.008500021882355,283,78.41421356237309
astar,128,128,0.15,7,7000,47,112,50,6,True,8.980599988717586,840,112.55634918610401
theta_star,128,128,0.15,7,7000,47,112,50,6,True,10.030200006440282,414,108.0292605568064
jps,128,128,0.15,7,7000,47,112,50,6,False,50.9703999850899,3697,inf
astar,128,128,0.15,8,8000,118,94,78,58,True,3.5568999592214823,325,58.426406871192825
theta_star,128,128,0.15,8,8000,118,94,78,58,True,3.7190000293776393,160,54.482703021446056
jps,128,128,0.15,8,8000,118,94,78,58,True,6.87019998440519,492,112.0
astar,128,128,0.15,9,9000,50,125,58,51,True,8.165600011125207,687,81.89949493661166
theta_star,128,128,0.15,9,9000,50,125,58,51,True,11.235899990424514,418,77.37173906399144
jps,128,128,0.15,9,9000,50,125,58,51,True,6.783499964512885,487,118.0
astar,128,128,0.25,0,0,86,92,15,67,True,6.7279000068083405,653,87.94112549695423
theta_star,128,128,0.25,0,0,86,92,15,67,True,2.995499991811812,156,79.54126318386321
jps,128,128,0.25,0,0,86,92,15,67,True,11.56529999570921,945,204.0
astar,128,128,0.25,1,1000,19,5,77,35,True,5.217800033278763,533,75.69848480983497
theta_star,128,128,0.25,1,1000,19,5,77,35,True,2.4495000252500176,125,66.84837770892133
jps,128,128,0.25,1,1000,19,5,77,35,False,1.7500999965704978,152,inf
astar,128,128,0.25,2,2000,3,94,36,32,True,11.783800029661506,1171,84.69848480983495
theta_star,128,128,0.25,2,2000,3,94,36,32,True,10.191100009251386,595,76.53564048615301
jps,128,128,0.25,2,2000,3,94,36,32,True,7.792799966409802,648,177.0
astar,128,128,0.25,3,3000,47,16,68,60,True,2.5654000346548855,236,60.2132034355964
theta_star,128,128,0.25,3,3000,47,16,68,60,True,2.9052000027149916,130,55.201973043791014
jps,128,128,0.25,3,3000,47,16,68,60,False,2.952600014396012,254,inf
astar,128,128,0.25,4,4000,127,14,126,63,True,4.031600023154169,432,64.52691193458116
theta_star,128,128,0.25,4,4000,127,14,126,63,True,5.918100010603666,351,58.512598887832056
jps,128,128,0.25,4,4000,127,14,126,63,False,1.647300028707832,131,inf
astar,128,128,0.25,5,5000,45,123,96,121,True,4.768199985846877,403,59.72792206135785
theta_star,128,128,0.25,5,5000,45,123,96,121,True,3.444500034675002,200,54.50911786589279
jps,128,128,0.25,5,5000,45,123,96,121,False,1.851000008173287,148,inf
astar,128,128,0.25,6,6000,7,81,88,47,True,23.330099997110665,2378,109.52691193458115
theta_star,128,128,0.25,6,6000,7,81,88,47,True,14.902599970810115,929,97.78428562554005
jps,128,128,0.25,6,6000,7,81,88,47,False,31.19199996581301,2689,inf
astar,128,128,0.25,7,7000,47,112,50,6,True,12.317500018980354,1232,119.62741699796949
theta_star,128,128,0.25,7,7000,47,112,50,6,True,13.822700013406575,763,111.98985110338995
jps,128,128,0.25,7,7000,47,112,50,6,False,2.4257999612018466,194,inf
astar,128,128,0.25,8,8000,118,94,78,58,True,5.420599947683513,540,65.45584412271569
theta_star,128,128,0.25,8,8000,118,94,78,58,True,3.871199965942651,229,57.328437305331896
jps,128,128,0.25,8,8000,118,94,78,58,False,0.8340000058524311,69,inf
astar,128,128,0.25,9,9000,50,125,58,51,True,8.121300023049116,794,86.72792206135783
theta_star,128,128,0.25,9,9000,50,125,58,51,True,15.576699981465936,842,82.83999162162478
jps,128,128,0.25,9,9000,50,125,58,51,False,1.3737999834120274,79,inf
astar,128,128,0.35,0,0,86,92,64,9,True,14.41599999088794,1682,121.28427124746186
theta_star,128,128,0.35,0,0,86,92,64,9,True,18.12909997534007,1356,106.14921347060847
jps,128,128,0.35,0,0,86,92,64,9,False,1.5720000374130905,141,inf
astar,128,128,0.35,1,1000,19,5,77,35,True,5.978800007142127,653,82.97056274847714
theta_star,128,128,0.35,1,1000,19,5,77,35,True,7.44499999564141,499,76.70843982358123
jps,128,128,0.35,1,1000,19,5,77,35,False,0.2604000037536025,19,inf
astar,128,128,0.35,2,2000,3,94,36,32,True,14.323099981993437,1586,107.87005768508877
theta_star,128,128,0.35,2,2000,3,94,36,32,True,21.152300003450364,1544,97.8713925698462
jps,128,128,0.35,2,2000,3,94,36,32,False,0.9382999851368368,80,inf
astar,128,128,0.35,3,3000,47,16,68,60,True,7.471899967640638,859,94.55634918610403
theta_star,128,128,0.35,3,3000,47,16,68,60,True,10.643099958542734,753,83.51397135581053
jps,128,128,0.35,3,3000,47,16,68,60,False,0.4157000221312046,34,inf
astar,128,128,0.35,4,4000,127,14,126,63,True,6.966499960981309,797,106.1837661840735
theta_star,128,128,0.35,4,4000,127,14,126,63,True,9.182700014207512,662,93.18219398792661
jps,128,128,0.35,4,4000,127,14,126,63,False,0.7182999979704618,60,inf
astar,128,128,0.35,5,5000,45,123,96,121,True,12.798500014469028,1488,109.52691193458115
theta_star,128,128,0.35,5,5000,45,123,96,121,True,17.658299999311566,1342,97.8032279082666
jps,128,128,0.35,5,5000,45,123,96,121,False,3.7930000107735395,336,inf
astar,128,128,0.35,6,6000,7,81,29,37,True,7.145599985960871,772,70.14213562373094
theta_star,128,128,0.35,6,6000,7,81,29,37,True,8.22590000461787,604,62.646429914565104
jps,128,128,0.35,6,6000,7,81,29,37,False,0.5959999980404973,45,inf
astar,128,128,0.35,7,7000,47,112,50,6,True,38.978700002189726,4337,189.9116882454315
theta_star,128,128,0.35,7,7000,47,112,50,6,True,43.65210002288222,3165,167.98089216292072
jps,128,128,0.35,7,7000,47,112,50,6,False,0.3915000124834478,28,inf
astar,128,128,0.35,8,8000,118,94,78,58,True,7.097099965903908,832,80.38477631085021
theta_star,128,128,0.35,8,8000,118,94,78,58,True,7.042600016575307,500,68.81478412376158
jps,128,128,0.35,8,8000,118,94,78,58,False,0.6208000122569501,56,inf
astar,128,128,0.35,9,9000,50,125,58,51,True,8.356000005733222,894,92.97056274847712
theta_star,128,128,0.35,9,9000,50,125,58,51,True,10.971500014420599,722,85.17317005248414
jps,128,128,0.35,9,9000,50,125,58,51,False,1.1359000345692039,100,inf
astar,256,256,0.05,0,0,98,49,173,184,True,28.874600015114993,2336,166.06601717798213
theta_star,256,256,0.05,0,0,98,49,173,184,True,12.58779998170212,216,156.1423097678317
jps,256,256,0.05,0,0,98,49,173,184,True,52.64900001930073,2605,264.8284271247462
astar,256,256,0.05,1,1000,178,115,39,10,True,24.069400038570166,2000,183.07821048680205
theta_star,256,256,0.05,1,1000,178,115,39,10,True,19.800500012934208,478,177.1406768242416
jps,256,256,0.05,1,1000,178,115,39,10,True,65.23760000709444,3108,292.2426406871193
astar,256,256,0.05,2,2000,6,188,72,65,True,19.68169998144731,1660,150.33809511662415
theta_star,256,256,0.05,2,2000,6,188,72,65,True,7.3982999892905354,145,143.60777533090243
jps,256,256,0.05,2,2000,6,188,72,65,True,21.50680002523586,1055,213.2426406871193
astar,256,256,0.05,3,3000,95,32,136,120,True,2.8357999981381,212,104.9827560572968
theta_star,256,256,0.05,3,3000,95,32,136,120,True,7.600500015541911,111,99.56839051531426
jps,256,256,0.05,3,3000,95,32,136,120,True,12.914200022350997,545,130.59797974644667
astar,256,256,0.05,4,4000,254,28,252,126,True,4.423099977429956,321,99.65685424949237
theta_star,256,256,0.05,4,4000,254,28,252,126,True,11.301000020466745,193,98.19080014295022
jps,256,256,0.05,4,4000,254,28,252,126,True,9.506099973805249,446,155.07106781186548
astar,256,256,0.05,5,5000,123,127,193,243,True,7.689299993216991,628,144.9949493661166
theta_star,256,256,0.05,5,5000,123,127,193,243,True,13.928100001066923,265,138.50817209370052
jps,256,256,0.05,5,5000,123,127,193,243,True,34.144400036893785,1647,217.31370849898477
astar,256,256,0.05,6,6000,139,201,2,236,True,9.124399977736175,730,151.49747468305827
theta_star,256,256,0.05,6,6000,139,201,2,236,True,12.169399997219443,141,142.22311309802305
jps,256,256,0.05,6,6000,139,201,2,236,False,182.66099999891594,8997,inf
astar,256,256,0.05,7,7000,95,225,101,12,True,16.864400007762015,1410,217.14213562373095
theta_star,256,256,0.05,7,7000,95,225,101,12,True,48.586799995973706,781,214.08012953603046
jps,256,256,0.05,7,7000,95,225,101,12,True,30.00829997472465,1418,277.8284271247462
astar,256,256,0.05,8,8000,236,189,156,117,True,8.712800045032054,685,111.58073580374344
theta_star,256,256,0.05,8,8000,236,189,156,117,True,11.203200032468885,253,108.46176241991782
jps,256,256,0.05,8,8000,236,189,156,117,True,11.13729999633506,451,140.87005768508882
astar,256,256,0.05,9,9000,101,250,117,102,True,10.241199983283877,837,154.6274169979695
theta_star,256,256,0.05,9,9000,101,250,117,102,True,13.41160002630204,229,151.3866848603621
jps,256,256,0.05,9,9000,101,250,117,102,True,9.989299986045808,425,183.65685424949237
astar,256,256,0.15,0,0,98,49,173,184,True,34.41449999809265,3025,170.99494936611677
theta_star,256,256,0.15,0,0,98,49,173,184,True,11.077000002842396,414,158.42202831223278
jps,256,256,0.15,0,0,98,49,173,184,True,40.80879996763542,3012,260.0
astar,256,256,0.15,1,1000,178,115,39,10,True,36.23250004602596,3247,189.52186130069805
theta_star,256,256,0.15,1,1000,178,115,39,10,True,36.2269000033848,1652,180.32608408582746
jps,256,256,0.15,1,1000,178,115,39,10,True,63.942400040104985,4601,330.0
astar,256,256,0.15,2,2000,6,188,72,65,True,25.57679999154061,2418,153.26702730475884
theta_star,256,256,0.15,2,2000,6,188,72,65,True,10.156499978620559,372,144.41350482020906
jps,256,256,0.15,2,2000,6,188,72,65,True,28.89849996427074,2135,258.0710678118655
astar,256,256,0.15,3,3000,95,32,136,120,True,10.480700002517551,884,106.15432893255065
theta_star,256,256,0.15,3,3000,95,32,136,120,True,5.340400035493076,178,100.18746530220277
jps,256,256,0.15,3,3000,95,32,136,120,True,40.46250000828877,2801,207.72792206135784
astar,256,256,0.15,4,4000,254,28,252,126,True,5.076100002042949,472,102.14213562373092
theta_star,256,256,0.15,4,4000,254,28,252,126,True,6.510700040962547,263,98.9724701283246
jps,256,256,0.15,4,4000,254,28,252,126,True,8.457800024189055,641,198.2426406871193
astar,256,256,0.15,5,5000,123,127,193,243,True,26.491499971598387,2337,148.50966799187805
theta_star,256,256,0.15,5,5000,123,127,193,243,True,15.773999970406294,622,139.28242360460771
jps,256,256,0.15,5,5000,123,127,193,243,False,205.70150000276044,15264,inf
astar,256,256,0.15,6,6000,139,201,176,94,True,5.0604999996721745,436,123.74011537017752
theta_star,256,256,0.15,6,6000,139,201,176,94,True,6.828300014603883,237,117.73567109248677
jps,256,256,0.15,6,6000,139,201,176,94,False,211.26820001518354,15385,inf
astar,256,256,0.15,7,7000,95,225,101,12,True,32.06240001600236,2921,223.0416305603427
theta_star,256,256,0.15,7,7000,95,225,101,12,True,36.32290003588423,1428,215.76109753010994
jps,256,256,0.15,7,7000,95,225,101,12,True,104.28819997468963,7617,366.4142135623731
astar,256,256,0.15,8,8000,236,189,156,117,True,20.969699951820076,1872,121.19595949289322
theta_star,256,256,0.15,8,8000,236,189,156,117,True,12.356300023384392,528,111.72549715158277
jps,256,256,0.15,8,8000,236,189,156,117,True,37.945999996736646,2813,223.4142135623731
astar,256,256,0.15,9,9000,101,250,117,102,True,21.005699993111193,1932,158.52691193458122
theta_star,256,256,0.15,9,9000,101,250,117,102,True,18.046600045636296,813,153.8608426353135
jps,256,256,0.15,9,9000,101,250,117,102,False,199.33549995766953,14737,inf
astar,256,256,0.25,0,0,98,49,173,184,True,64.7822999744676,6322,186.85281374238585
theta_star,256,256,0.25,0,0,98,49,173,184,True,40.35269998712465,2364,166.47028548161728
jps,256,256,0.25,0,0,98,49,173,184,False,19.06669995514676,1527,inf
astar,256,256,0.25,1,1000,178,115,39,10,True,57.968600012827665,5555,203.82337649086307
theta_star,256,256,0.25,1,1000,178,115,39,10,True,36.36719996575266,2019,183.2150754941204
jps,256,256,0.25,1,1000,178,115,39,10,True,40.324000001419336,2845,304.0
astar,256,256,0.25,2,2000,6,188,72,65,True,38.77499996451661,3615,165.22539674441623
theta_star,256,256,0.25,2,2000,6,188,72,65,True,7.373399974312633,399,147.53793157733676
jps,256,256,0.25,2,2000,6,188,72,65,False,18.469300004653633,1526,inf
astar,256,256,0.25,3,3000,136,120,59,210,True,29.22760002547875,2640,140.05382386916233
theta_star,256,256,0.25,3,3000,136,120,59,210,True,27.493100031279027,1331,125.84136173901838
jps,256,256,0.25,3,3000,136,120,59,210,True,63.55179997626692,4911,470.4142135623731
astar,256,256,0.25,4,4000,254,28,252,126,True,8.345600042957813,730,109.11269837220804
theta_star,256,256,0.25,4,4000,254,28,252,126,True,9.26889997208491,527,102.59774642073025
jps,256,256,0.25,4,4000,254,28,252,126,False,3.924400021787733,189,inf
astar,256,256,0.25,5,5000,123,127,193,243,True,29.39219999825582,2677,156.12489168102786
theta_star,256,256,0.25,5,5000,123,127,193,243,True,23.614600009750575,659,142.3405540982295
jps,256,256,0.25,5,5000,123,127,193,243,False,30.542800028342754,2011,inf
astar,256,256,0.25,6,6000,139,201,176,94,True,20.742800028529018,1579,130.32590180780446
theta_star,256,256,0.25,6,6000,139,201,176,94,True,7.620499993208796,424,120.65646313567275
jps,256,256,0.25,6,6000,139,201,176,94,False,16.05589996324852,1189,inf
astar,256,256,0.25,7,7000,95,225,101,12,True,60.34429999999702,5925,242.59797974644675
theta_star,256,256,0.25,7,7000,95,225,101,12,True,58.29489999450743,3348,226.36851364329897
jps,256,256,0.25,7,7000,95,225,101,12,False,16.30359998671338,1381,inf
astar,256,256,0.25,8,8000,236,189,156,117,True,23.098699981346726,2306,129.05382386916227
theta_star,256,256,0.25,8,8000,236,189,156,117,True,14.015399967320263,809,115.31737631200927
jps,256,256,0.25,8,8000,236,189,156,117,False,7.7754000085406005,656,inf
astar,256,256,0.25,9,9000,101,250,117,102,True,29.95929995086044,2987,167.01219330881975
theta_star,256,256,0.25,9,9000,101,250,117,102,True,23.793399974238127,1344,155.99452743048974
jps,256,256,0.25,9,9000,101,250,117,102,False,24.2259000078775,2029,inf
astar,256,256,0.35,0,0,98,49,173,184,True,82.5745000038296,9045,234.81118318204327
theta_star,256,256,0.35,0,0,98,49,173,184,True,100.94729997217655,7234,208.11378508888095
jps,256,256,0.35,0,0,98,49,173,184,False,1.8925000331364572,162,inf
astar,256,256,0.35,1,1000,100,178,97,63,True,39.14569999324158,4320,167.35533905932743
theta_star,256,256,0.35,1,1000,100,178,97,63,True,27.608899981714785,2035,141.5534448035035
jps,256,256,0.35,1,1000,100,178,97,63,False,0.7626000442542136,63,inf
astar,256,256,0.35,2,2000,169,107,64,174,True,57.713599991984665,6452,192.7695526217005
theta_star,256,256,0.35,2,2000,169,107,64,174,True,80.9917000005953,5430,170.19732093399546
jps,256,256,0.35,2,2000,169,107,64,174,False,0.6442000158131123,49,inf
astar,256,256,0.35,3,3000,59,210,136,162,True,23.13649997813627,2076,128.94112549695421
theta_star,256,256,0.35,3,3000,59,210,136,162,True,25.014099956024438,1628,114.29405540043707
jps,256,256,0.35,3,3000,59,210,136,162,False,0.48949994379654527,38,inf
astar,256,256,0.35,4,4000,254,28,252,126,True,10.332500038202852,1169,134.1837661840735
theta_star,256,256,0.35,4,4000,254,28,252,126,True,10.950000025331974,756,119.5322372833071
jps,256,256,0.35,4,4000,254,28,252,126,False,0.783099967520684,50,inf
astar,256,256,0.35,5,5001,138,23,88,134,True,46.905399998649955,3585,168.254833995939
theta_star,256,256,0.35,5,5001,138,23,88,134,True,30.037500022444874,2078,147.2332645303817
jps,256,256,0.35,5,5001,138,23,88,134,False,2.071900002192706,109,inf
astar,256,256,0.35,6,6000,139,201,176,94,True,29.549599974416196,2240,142.32590180780448
theta_star,256,256,0.35,6,6000,139,201,176,94,True,19.836399995256215,1260,128.98627434434377
jps,256,256,0.35,6,6000,139,201,176,94,False,3.5985999857075512,197,inf
astar,256,256,0.35,7,7000,95,225,101,12,True,106.23569996096194,9942,292.88225099390877
theta_star,256,256,0.35,7,7000,95,225,101,12,True,94.98930000700057,6771,258.9058771971919
jps,256,256,0.35,7,7000,95,225,101,12,False,2.625900029670447,217,inf
astar,256,256,0.35,8,8000,236,189,156,117,True,37.87330002523959,4293,158.42640687119285
theta_star,256,256,0.35,8,8000,236,189,156,117,True,37.48399997130036,2648,137.56918940712913
jps,256,256,0.35,8,8000,236,189,156,117,False,0.48340001376345754,38,inf
astar,256,256,0.35,9,9000,101,250,117,102,True,29.322899994440377,3283,205.01219330881986
theta_star,256,256,0.35,9,9000,101,250,117,102,True,34.07699998933822,2533,184.7297305814541
jps,256,256,0.35,9,9000,101,250,117,102,False,0.3394000232219696,28,inf
astar,512,512,0.05,0,0,197,98,347,368,True,155.14360001543537,11739,332.132034355965
theta_star,512,512,0.05,0,0,197,98,347,368,True,25.430999987293035,387,316.1385859415392
jps,512,512,0.05,0,0,197,98,347,368,False,902.1718999720179,37070,inf
astar,512,512,0.05,1,1000,356,230,79,21,True,108.39910001959652,8320,364.7422074112321
